date,close,open,high,low,pervar
31.12.2017,"12.616,0","12.385,0","13.391,0","12.183,9","1,93"
30.12.2017,"12.377,0","14.308,0","14.403,0","11.690,0","-13,55"
29.12.2017,"14.317,0","14.323,0","15.105,0","13.847,0","0,01"
28.12.2017,"14.315,0","15.374,0","15.467,0","13.232,0","-6,89"
27.12.2017,"15.374,0","15.680,0","16.494,0","14.463,0","-1,95"
26.12.2017,"15.679,0","13.627,0","16.048,0","13.550,0","15,09"
25.12.2017,"13.623,0","13.517,0","14.278,0","12.678,0","1,09"
24.12.2017,"13.476,0","14.036,0","14.047,0","11.601,2","-3,98"
23.12.2017,"14.035,0","13.173,0","14.986,0","12.755,0","6,57"
22.12.2017,"13.170,0","15.650,0","15.826,0","10.718,0","-15,94"
21.12.2017,"15.666,8","16.433,0","17.333,0","14.827,0","-4,62"
20.12.2017,"16.425,0","17.340,0","17.709,0","15.500,0","-5,30"
19.12.2017,"17.345,0","18.931,0","18.987,0","16.500,0","-8,39"
18.12.2017,"18.934,0","18.959,0","19.171,0","18.010,0","-0,20"
17.12.2017,"18.971,0","19.210,0","19.891,0","18.622,0","-1,13"
16.12.2017,"19.187,0","17.569,5","19.548,0","17.098,0","9,50"
15.12.2017,"17.522,0","16.396,0","18.098,0","16.352,0","6,95"
14.12.2017,"16.383,0","16.122,0","16.999,0","15.870,0","1,25"
13.12.2017,"16.181,0","17.010,0","17.288,0","15.674,0","-4,63"
12.12.2017,"16.967,0","16.754,0","17.500,0","16.234,0","1,27"
11.12.2017,"16.754,0","14.937,0","17.443,0","14.937,0","11,72"
10.12.2017,"14.997,0","14.660,0","15.728,0","12.748,0","2,30"
09.12.2017,"14.660,0","15.829,0","16.300,0","13.021,0","-7,62"
08.12.2017,"15.869,0","16.608,0","17.160,0","13.774,0","-4,41"
07.12.2017,"16.601,0","13.500,0","16.639,0","13.154,0","22,72"
06.12.2017,"13.527,0","11.590,0","13.598,0","11.590,0","16,66"
05.12.2017,"11.595,0","11.611,0","11.949,0","11.414,0","0,00"
04.12.2017,"11.595,0","11.162,0","11.598,0","10.788,0","3,93"
03.12.2017,"11.157,0","10.880,0","11.842,0","10.299,0","2,54"
02.12.2017,"10.881,0","10.852,0","11.187,0","10.627,0","0,11"
01.12.2017,"10.869,0","9.907,0","10.949,0","9.370,1","9,71"
